fixture_id,kickoff,team,player,p_shots_gt0.5,odds_shots_gt0.5,ev_shots_gt0.5,p_shots_gt1.5,odds_shots_gt1.5,ev_shots_gt1.5,p_shots_gt2.5,odds_shots_gt2.5,ev_shots_gt2.5,p_sot_gt0.5,odds_sot_gt0.5,ev_sot_gt0.5,p_sot_gt1.5,odds_sot_gt1.5,ev_sot_gt1.5
1557372,2026-08-22T16:30:00+00:00,Brentford,Nathan Collins,0.349,1.8,-0.372,0.089,4.33,-0.615,0.019,13.0,-0.753,0.171,3.75,-0.359,0.02,19.0,-0.62
1557372,2026-08-22T16:30:00+00:00,Brentford,Keane Lewis-Potter,0.597,1.36,-0.188,0.281,2.62,-0.264,0.116,6.0,-0.304,0.614,3.25,0.996,0.299,15.0,3.485
1557372,2026-08-22T16:30:00+00:00,Brentford,Mathias Jensen,0.549,1.36,-0.253,0.233,2.62,-0.39,0.086,6.0,-0.484,0.242,2.62,-0.366,0.041,11.0,-0.549
1557372,2026-08-22T16:30:00+00:00,Brentford,Mamadou Sangare,,1.22,,,1.91,,,3.75,,,2.5,,,10.0,
1557372,2026-08-22T16:30:00+00:00,Brentford,Dango Ouattara,,1.11,,,1.53,,,2.5,,,1.67,,,4.33,
1557372,2026-08-22T16:30:00+00:00,Brentford,Vitaly Janelt,0.513,2.0,0.026,0.201,6.0,0.206,0.069,19.0,0.311,0.214,3.75,-0.198,0.032,21.0,-0.328
1557372,2026-08-22T16:30:00+00:00,Brentford,Kevin Schade,0.814,1.12,-0.088,0.575,1.57,-0.097,0.369,2.62,-0.033,0.588,1.67,-0.018,0.272,4.33,0.178
1557372,2026-08-22T16:30:00+00:00,Brentford,Igor Thiago,0.846,1.05,-0.112,0.631,1.3,-0.18,0.432,1.83,-0.209,,1.36,,,2.62,
1557372,2026-08-22T16:30:00+00:00,Tottenham,Antonín Kinský,0.001,,,0.0,,,0.0,,,,,,,,
1557372,2026-08-22T16:30:00+00:00,Tottenham,Archie Gray,0.237,1.5,-0.645,0.04,3.25,-0.87,0.006,8.0,-0.952,,3.0,,,15.0,
1557372,2026-08-22T16:30:00+00:00,Tottenham,Jan Paul van Hecke,,1.83,,,5.0,,,15.0,,,4.0,,,21.0,
1557372,2026-08-22T16:30:00+00:00,Tottenham,Marcos Senesi,,2.5,,,9.0,,,21.0,,,6.0,,,,
1557372,2026-08-22T16:30:00+00:00,Tottenham,Andy Robertson,,2.38,,,8.0,,,21.0,,,5.5,,,,
1557372,2026-08-22T16:30:00+00:00,Tottenham,Lucas Bergvall,0.594,1.53,-0.091,0.278,3.4,-0.055,0.114,9.0,0.026,,3.25,,,15.0,
